RelSpeed,InducedVertBreak,HorzBreak,SpinRate,Tilt,TaggedPitchType
85.72794,14.93891,-13.49867,1882.051121,10.3,Fastball
85.70798,15.05654,-15.40623,1952.794208,10.3,Fastball
75.46362,4.91764,-12.93335,1299.379412,9.3,ChangeUp
76.6553,5.68032,-16.42883,1314.21558,9.3,ChangeUp
85.85314,20.48328,-11.32064,1967.006753,11.0,Fastball
86.4741,19.0095,-12.20477,1953.300225,10.45,Fastball
85.16531,18.40595,-13.18863,1918.812469,10.45,Fastball
87.22537,17.77729,-14.75993,1961.699397,10.3,Fastball
85.26444,20.01446,-11.06942,1913.794075,11.0,Fastball
85.69687,14.6054,-13.77981,1885.317723,10.3,Fastball
75.51564,4.20296,-15.30257,1303.180452,9.15,ChangeUp
86.41719,1.35815,19.50285,1798.001926,3.0,Fastball
86.67423,8.28815,19.20733,1894.724526,2.15,Fastball
72.34378,-12.4856,-17.25009,2165.669529,7.45,Curveball
86.58639,8.27445,20.96438,1881.69359,2.3,Fastball
86.64652,8.49099,19.82674,1901.160043,2.15,Fastball
73.21963,-15.23835,-16.69812,2120.178161,7.3,Curveball
86.70591,9.13626,19.25143,1936.791377,2.15,Fastball
79.20996,1.63764,-0.01409,1994.249721,6.15,Slider
86.9377,0.03406,19.96914,1842.736064,3.15,Fastball
86.9284,1.31906,20.85434,1844.308396,3.0,Fastball
86.50492,4.09736,19.04103,1922.203379,2.45,Fastball
86.66753,11.17056,20.29974,1893.307536,2.15,Fastball
73.68176,-15.62343,-16.78336,2230.240585,7.3,Curveball
79.54572,1.27697,-2.85429,2138.386103,8.3,Slider
86.71053,9.40902,19.47977,1891.613675,2.15,Fastball
72.28633,-16.75725,-16.72143,2032.493714,7.15,Curveball
73.9163,-17.41851,-13.92824,2267.64564,7.15,Curveball
86.66375,10.97749,18.47115,1920.182176,2.0,Fastball
85.89832,8.16083,18.48493,1827.218114,2.15,Fastball
87.34074,8.23957,18.02249,1932.07501,2.15,Fastball
85.52242,-0.47693,22.97214,1799.189661,3.15,Fastball
86.39865,7.59331,20.69442,1881.901254,2.3,Fastball
85.52528,10.56827,-19.74363,2009.244556,9.45,Fastball
87.40673,11.70603,-19.12454,2144.221605,10.0,Fastball
85.70833,13.29186,-18.89855,1978.442718,10.0,Fastball
87.06669,19.89371,-18.57938,2088.254691,10.3,Fastball
87.76663,12.3528,-16.91804,2175.019735,10.0,Fastball
86.46852,12.73761,-18.39418,2073.931094,10.0,Fastball
84.88924,18.11938,-11.10382,2147.372268,11.0,Fastball
83.875,5.41071,7.27807,2363.423761,2.0,Cutter
83.04928,5.86418,4.77492,2360.156489,1.3,Cutter
89.64326,15.97072,-12.32713,2186.520718,10.45,Fastball
84.22498,6.25063,1.3328,2316.666689,12.3,Cutter
90.53933,11.58182,-9.25784,2209.457489,10.3,Fastball
84.7651,8.23855,9.83749,2364.94735,1.45,Cutter
90.67333,12.40201,-7.27268,2239.574862,11.0,Fastball
84.08603,6.81264,0.6252,2236.425844,12.15,Cutter
89.76219,15.2282,-13.81674,2120.759195,10.3,Fastball
83.87812,5.48847,5.32028,2251.926893,1.45,Cutter
83.88696,9.01536,1.56858,2313.576897,12.3,Cutter
83.08391,6.91036,5.68488,2269.982863,1.3,Cutter
89.34509,16.49458,-9.58599,2121.400416,11.0,Fastball
87.54388,21.52407,-7.41658,2137.878708,11.15,Fastball
80.2025,15.24005,-14.1202,1702.668428,10.3,ChangeUp
81.44333,10.57473,-13.0441,1658.824373,10.15,ChangeUp
88.03119,23.14911,-11.47434,2218.890659,11.0,Fastball
82.10996,13.12339,-15.39194,1718.123318,10.15,ChangeUp
81.13187,13.8519,-16.82954,1808.137839,10.15,ChangeUp
87.8997,22.88958,-6.82402,2211.035597,11.3,Fastball
87.77481,20.26454,-12.64237,2231.320839,11.0,Fastball
80.80101,12.3654,4.48666,2299.570714,12.45,Cutter
89.08327,21.69647,-10.35422,2253.664073,11.0,Fastball
88.39731,22.33946,-8.87567,2275.905932,11.15,Fastball
80.90389,10.19504,-13.61178,1703.347492,10.0,ChangeUp
87.29284,19.87891,-8.78749,2127.819507,11.15,Fastball
88.92799,16.73773,-7.32012,2058.318713,11.15,Fastball
88.67895,20.63501,12.7932,2384.780852,1.0,Fastball
87.18913,21.24572,11.89638,2321.019811,1.0,Fastball
88.03922,18.21954,11.37182,2286.537306,1.15,Fastball
88.50955,17.43552,13.7491,2347.164547,1.15,Fastball
78.68734,13.95965,17.50029,2322.725781,1.45,ChangeUp
79.81746,13.08485,21.00411,2375.523012,2.0,ChangeUp
89.35796,20.40249,12.5719,2308.622356,1.0,Fastball
89.95542,21.56556,12.90705,2375.231369,1.0,Fastball
74.18992,-12.5519,-16.61906,2811.379089,7.45,Curveball
90.01916,17.32808,8.13075,2408.91243,1.0,Fastball
88.76889,18.95233,16.07993,2356.941634,1.3,Fastball
78.765,15.25694,17.2528,2154.692289,1.45,ChangeUp
89.5256,19.49812,12.20572,2316.675048,1.0,Fastball
88.95429,19.4793,12.46068,2319.688849,1.15,Fastball
77.30467,12.92623,18.07615,2241.538903,2.0,ChangeUp
79.03409,10.79308,19.84887,2345.083922,2.15,ChangeUp
77.13888,11.08465,18.493,2200.156438,2.0,ChangeUp
89.33969,18.34383,12.96009,2418.627244,1.15,Fastball
77.21594,13.80934,17.36993,2195.479399,1.45,ChangeUp
77.08494,12.12138,22.83997,1990.099416,2.15,ChangeUp
76.9044,9.30036,21.81537,2031.810652,2.15,ChangeUp
87.46396,17.06249,14.77304,2216.498521,1.3,Fastball
76.19056,10.95402,19.85599,2182.42333,2.15,ChangeUp
77.40101,14.17288,19.06414,2284.865566,2.0,ChangeUp
73.39281,-12.31516,-13.1689,2851.73527,7.3,Curveball
87.3062,16.65245,11.12473,2235.16294,1.15,Fastball
75.05879,10.68623,19.1267,1985.205689,2.15,ChangeUp
87.25764,21.34757,11.30453,2346.563757,1.0,Fastball
87.42603,17.07816,14.11583,2351.485374,1.3,Fastball
73.82665,-13.17579,-13.19528,2890.57447,7.3,Curveball
75.01619,-14.87068,-12.59729,3006.866972,7.15,Curveball
73.5075,-17.3341,-13.23611,2906.709325,7.15,Curveball
88.24951,22.17367,9.43489,2354.161245,12.45,Fastball
88.57516,19.14178,10.95674,2373.306906,1.0,Fastball
87.69892,20.10702,10.6343,2316.768958,1.0,Fastball
80.58824,9.31331,-3.38362,2498.960729,11.15,Cutter
76.0997,14.45363,19.19485,2200.069394,2.0,ChangeUp
77.1047,14.2602,16.71615,2208.547428,1.45,ChangeUp
74.48523,-8.81233,-15.93965,2848.101498,8.0,Curveball
76.862,11.02819,21.50041,2261.731059,2.15,ChangeUp
88.37391,17.59761,13.4056,2357.643718,1.15,Fastball
76.79633,9.263,19.82603,2150.902837,2.15,ChangeUp
77.45228,15.37355,17.64127,2281.67975,1.45,ChangeUp
87.87096,17.65304,13.91024,2243.852434,1.15,Fastball
